product_id,post_title,categories,upc,sku,ean,jan,isbn,mpn,location,quantity,model,manufacturer,images,"requires
shipping",regular_price,points,date_added,date_modified,date_available,weight,unit,length,width,height,"length
unit","status
enabled",tax_class_id,viewed,language_id,seo_keyword,post_excerpt,meta_description,tags,stock_status_id,store_ids,layout,related_ids,hola,sort_order,subtract,minimum
51,PL Album - Gris,,,7.18814E+11,,,,,,0,PL 12x12 Album-Cloth-Rain,,718813801997.jpg,yes,1187,0,1/22/14 13:28,4/29/14 13:40,1/21/14,0,lb,2,12,12,in,FALSE,11,233,2,,"<p>American Crafts-Life Project Cloth D-Ring ‡lbum. Robusto y vers‡til; estos ‡lbumes de tela tienen una construcci—n de alta calidad. El mecanismo aglutinante anillo D se seguro; anillos que no se deshaga de enclavamiento. Este paquete contiene un ‡lbum de 12x12 dise–os pulgadas; un sobre almacenamiento y diez p‡ginas de alta claridad de las fotos de bolsillo (cinco cada uno de los dos dise–os). çcido fuerte gratuita y de archivo. Disponible en una variedad de dise–os, cada uno se vende por separado. Importada.</p>
","album, gris","album, gris",5,0,,,,1,TRUE,1
52,Tape Basico - Pebbles - Miel,tapes,,6.46247E+11,,,,,,6,basic-tape-honeycomb,,646247472110.jpg,yes,175.62,0,1/22/14 14:03,1/24/14 12:37,1/21/14,0,lb,0,0,0,in,TRUE,11,686,2,,"<p>American Crafts-Basics Washi Tape. Esta cinta viene en varios colores y dise–os, y se ven muy bien con cualquier proyecto de papel. Este paquete contiene dos rollos de 21 yardas de cinta. Dise–o: Honeycomb. Importada.</p>
","tape, pebbles, miel","tape, pebbles, miel",5,0,,,,1,TRUE,1
53,Alfabeto Blanco en tela ,,,6.46247E+11,,,,,,12,mistable  DIY THI-Ali wht-fbrc,,646247472110.jpg,yes,150,0,1/22/14 14:18,5/27/14 10:43,1/21/14,0,lb,0,0,0,in,FALSE,11,14,2,,"<p>ESTUDIO CALICO-Classic Calico Colecci—n: Mistable Thickers Pegatinas Forma. Modifique estas formas en cualquier color para su pr—ximo proyecto. Este paquete de 6x6 pulgadas contiene una variedad de formas de la etiqueta engomada de la tela. Disponible en una variedad de formas (cada uno se vende por separado). Importada.</p>
","thicker, sticker","thicker, sticker",5,0,,,,1,TRUE,1
54,PL Album Binder - Lluvia,,,7.18814E+11,,,,,,0,project life-binder-rain,,718813800488.jpg,yes,860,0,1/22/14 14:23,4/15/14 7:10,1/21/14,0,lb,0,0,0,in,FALSE,11,237,2,,"<p>American Crafts-Life Project Colecci—n: Dise–ador D-Ring ‡lbum. Utilice este fant‡stico ‡lbum para almacenar todas sus fotos especiales y recuerdos de la familia! El ‡lbum est‡ dise–ado para sostener 12x12 p‡ginas pulgadas, ha reforzado las esquinas de metal; tiene un anillo en D enclavamiento-gancho-libre, y tiene un soporte de metal de la etiqueta en el lomo. Este paquete contiene un ‡lbum 15x13x2-3/4 pulgadas. Dise–o: Lluvia Edici—n Brown con dise–o. Importada.</p>
","album, lluvia, albun","album, lluvia, albun",5,0,,,,1,TRUE,1
55,Divisor - Miel,"project-life,accesorios-project-life",,7.18814E+11,,,,,,3,PL-DIVIFRTD HONEY 12pk,,718813800334.jpg,yes,336.45,0,1/22/14 14:29,5/29/14 12:03,1/21/14,0,lb,0,0,0,in,TRUE,11,934,2,,"<p>American Life ARTESANêA-Proyecto Colecci—n: divisores de dise–o y etiquetas autoadhesivas. Utilice estos divisores lindo para adornar sus secciones ‡lbumes y dividir. Se adaptan a la mayor’a de los ‡lbumes de 12x12 pulgadas. Este paquete contiene doce divisiones de ancho de 3 pulgadas, y catorce etiquetas blancas. Dise–o: Miel Edition. Importada.</p>
","Divisor, separador","Divisor, separador",5,0,,,,1,TRUE,1
56,Tape Basico - Pebbles - Gris,tapes,,6.46247E+11,,,,,,6,Basic-tape-ash,,646247472073.jpg,yes,175.62,0,1/22/14 14:39,1/24/14 12:37,1/21/14,0,lb,0,0,0,in,TRUE,11,698,2,,"<p>American Crafts-Basics Washi Tape. Esta cinta viene en varios colores y dise–os, y se ven muy bien con cualquier proyecto de papel. Este paquete contiene dos rollos de 21 yardas de cinta. Dise–o: Ash. Importada.</p>
","tape, pebbles, gris","tape, pebbles, gris",5,0,,"381,383",,1,TRUE,1
57,Stickers -Yes Please,stickers,,7.18813E+11,,,,,,12,AT YES please-stclrs-life tran,,718813423656.jpg,yes,336.45,0,1/22/14 14:48,5/9/14 14:13,1/21/14,0,lb,0,0,0,in,TRUE,11,501,2,,"<p>American Crafts-Amy Tangerine Yes Please: Observaciones Sticker Book-Life Alphabet &amp; Numbers. Estas pegatinas van a complementar otros productos en esta l’nea y lucen muy bien con cualquier proyecto de scrapbooking. Este paquete contiene ocho hojas de etiquetas adhesivas 5x11 pulgadas. El ‡cido libre. Importada.</p>
","stickers, yes, please","stickers, yes, please",5,0,,"379,381,383",,1,TRUE,1
58,Tape Basico - Pebbles - Rosado Claro ,tapes,,6.46247E+11,,,,,,6,Basic-tape-peony,,646247472103.jpg,yes,175.63,0,1/22/14 16:19,1/24/14 12:40,1/21/14,0,lb,0,0,0,in,TRUE,11,708,2,,"<p>American Crafts-Basics Washi Tape. Esta cinta viene en varios colores y dise–os, y se ven muy bien con cualquier proyecto de papel. Este paquete contiene dos rollos de 21 yardas de cinta. Dise–o: Peony. Importada.</p>
","tape, pebbles, rosado","tape, pebbles, rosado",5,0,,"97,117,130",,1,TRUE,1
59,Tape Basico - Pebbles - Colorete,tapes,,6.46247E+11,,,,,,6,Basic-tape-rouge,,646247472080.jpg,yes,175.62,0,1/22/14 16:23,1/24/14 12:36,1/21/14,0,lb,0,0,0,in,TRUE,11,704,2,,"<p>American Crafts-Basics Washi Tape. Esta cinta viene en varios colores y dise–os, y se ven muy bien con cualquier proyecto de papel. Este paquete contiene dos rollos de 21 yardas de cinta. Dise–o: Rouge. Importada.</p>
","tape, pebbles, colorete","tape, pebbles, colorete",5,0,,130,,1,TRUE,1
60,Tape Basico - Pebbles - Rosado Oscuro,tapes,,6.46247E+11,,,,,,6,Basic-tape-begonia,,646247472097.jpg,yes,175.63,0,1/22/14 16:28,1/24/14 12:40,1/21/14,0,lb,0,0,0,in,TRUE,11,699,2,,"<p>American Crafts-Basics Washi Tape. Esta cinta viene en varios colores y dise–os, y se ven muy bien con cualquier proyecto de papel. Este paquete contiene dos rollos de 21 yardas de cinta. Dise–o: Begonia. Importada.</p>
","tape, pebbles, rosado, oscuro","tape, pebbles, rosado, oscuro",5,0,,"96,116,130",,1,TRUE,1
61,PL Album - Negro,,,7.18814E+11,,,,,,1,PL 12x12 Albums-cloth Black,,718813801904.jpg,yes,1187,0,1/22/14 16:31,4/29/14 13:41,1/21/14,0,lb,0,0,0,in,FALSE,11,212,2,,"<p><span style=""font-size: 13px;"">American Crafts-Life Project Cloth D-Ring ‡lbum. Robusto y vers‡til; estos ‡lbumes de tela tienen una construcci—n de alta calidad. El mecanismo aglutinante anillo D se seguro; anillos que no se deshaga de enclavamiento. Este paquete contiene un ‡lbum de 12x12 dise–os pulgadas; un sobre almacenamiento y diez p‡ginas de alta claridad de las fotos de bolsillo (cinco cada uno de los dos dise–os). çcido fuerte gratuita y de archivo. Disponible en una variedad de dise–os, cada uno se vende por separado. Importada.</span></p>
","album, negro","album, negro",5,0,,,,1,TRUE,1
