product_id,name,categories,sku,upc,ean,jan,isbn,mpn,location,quantity,model,manufacturer,image_name,"requires
shipping",price,points,date_added,date_modified,date_available,weight,unit,length,width,height,"length
unit","status
enabled",tax_class_id,viewed,language_id,seo_keyword,description,meta_description,meta_keywords,stock_status_id,store_ids,layout,related_ids,tags,sort_order,subtract,minimum
51,PL Album - Gris,,,718813802017,,,,,,0,PL 12x12 Album-Cloth-Rain,,data/718813801997.jpg,yes,1187.00,0,2014-01-22 13:28:17,2014-04-29 13:40:49,2014-01-21,0.00,lb,2,12,12,in,false,11,233,2,,"<p>American Crafts-Life Project Cloth D-Ring álbum. Robusto y versátil; estos álbumes de tela tienen una construcción de alta calidad. El mecanismo aglutinante anillo D se seguro; anillos que no se deshaga de enclavamiento. Este paquete contiene un álbum de 12x12 diseños pulgadas; un sobre almacenamiento y diez páginas de alta claridad de las fotos de bolsillo (cinco cada uno de los dos diseños). Ácido fuerte gratuita y de archivo. Disponible en una variedad de diseños, cada uno se vende por separado. Importada.</p>
","album, gris","album, gris",5,0,,,,1,true,1
52,Tape Basico - Pebbles - Miel,60,,646247472110,,,,,,6,basic-tape-honeycomb,,data/646247472110.jpg,yes,175.62,0,2014-01-22 14:03:15,2014-01-24 12:37:30,2014-01-21,0.00,lb,0,0,0,in,true,11,686,2,,"<p>American Crafts-Basics Washi Tape. Esta cinta viene en varios colores y diseños, y se ven muy bien con cualquier proyecto de papel. Este paquete contiene dos rollos de 21 yardas de cinta. Diseño: Honeycomb. Importada.</p>
","tape, pebbles, miel","tape, pebbles, miel",5,0,,,,1,true,1
53,Alfabeto Blanco en tela ,,,646247472110,,,,,,12,mistable  DIY THI-Ali wht-fbrc,,data/646247472110.jpg,yes,150.00,0,2014-01-22 14:18:55,2014-05-27 10:43:40,2014-01-21,0.00,lb,0,0,0,in,false,11,14,2,,"<p>ESTUDIO CALICO-Classic Calico Colección: Mistable Thickers Pegatinas Forma. Modifique estas formas en cualquier color para su próximo proyecto. Este paquete de 6x6 pulgadas contiene una variedad de formas de la etiqueta engomada de la tela. Disponible en una variedad de formas (cada uno se vende por separado). Importada.</p>
","thicker, sticker","thicker, sticker",5,0,,,,1,true,1
54,PL Album Binder - Lluvia,,,718813800488,,,,,,0,project life-binder-rain,,data/718813800488.jpg,yes,860.00,0,2014-01-22 14:23:24,2014-04-15 07:10:11,2014-01-21,0.00,lb,0,0,0,in,false,11,237,2,,"<p>American Crafts-Life Project Colección: Diseñador D-Ring álbum. Utilice este fantástico álbum para almacenar todas sus fotos especiales y recuerdos de la familia! El álbum está diseñado para sostener 12x12 páginas pulgadas, ha reforzado las esquinas de metal; tiene un anillo en D enclavamiento-gancho-libre, y tiene un soporte de metal de la etiqueta en el lomo. Este paquete contiene un álbum 15x13x2-3/4 pulgadas. Diseño: Lluvia Edición Brown con diseño. Importada.</p>
","album, lluvia, albun","album, lluvia, albun",5,0,,,,1,true,1
55,Divisor - Miel,"65,87",,718813800334,,,,,,3,PL-DIVIFRTD HONEY 12pk,,data/718813800334.jpg,yes,336.45,0,2014-01-22 14:29:36,2014-05-29 12:03:01,2014-01-21,0.00,lb,0,0,0,in,true,11,934,2,,"<p>American Life ARTESANÍA-Proyecto Colección: divisores de diseño y etiquetas autoadhesivas. Utilice estos divisores lindo para adornar sus secciones álbumes y dividir. Se adaptan a la mayoría de los álbumes de 12x12 pulgadas. Este paquete contiene doce divisiones de ancho de 3 pulgadas, y catorce etiquetas blancas. Diseño: Miel Edition. Importada.</p>
","Divisor, separador","Divisor, separador",5,0,,,,1,true,1
56,Tape Basico - Pebbles - Gris,60,,646247472073,,,,,,6,Basic-tape-ash,,data/646247472073.jpg,yes,175.62,0,2014-01-22 14:39:15,2014-01-24 12:37:43,2014-01-21,0.00,lb,0,0,0,in,true,11,698,2,,"<p>American Crafts-Basics Washi Tape. Esta cinta viene en varios colores y diseños, y se ven muy bien con cualquier proyecto de papel. Este paquete contiene dos rollos de 21 yardas de cinta. Diseño: Ash. Importada.</p>
","tape, pebbles, gris","tape, pebbles, gris",5,0,,"381,383",,1,true,1
57,Stickers -Yes Please,63,,718813423656,,,,,,12,AT YES please-stclrs-life tran,,data/718813423656.jpg,yes,336.45,0,2014-01-22 14:48:29,2014-05-09 14:13:44,2014-01-21,0.00,lb,0,0,0,in,true,11,501,2,,"<p>American Crafts-Amy Tangerine Yes Please: Observaciones Sticker Book-Life Alphabet &amp; Numbers. Estas pegatinas van a complementar otros productos en esta línea y lucen muy bien con cualquier proyecto de scrapbooking. Este paquete contiene ocho hojas de etiquetas adhesivas 5x11 pulgadas. El ácido libre. Importada.</p>
","stickers, yes, please","stickers, yes, please",5,0,,"379,381,383",,1,true,1
58,Tape Basico - Pebbles - Rosado Claro ,60,,646247472103,,,,,,6,Basic-tape-peony,,data/646247472103.jpg,yes,175.63,0,2014-01-22 16:19:49,2014-01-24 12:40:07,2014-01-21,0.00,lb,0,0,0,in,true,11,708,2,,"<p>American Crafts-Basics Washi Tape. Esta cinta viene en varios colores y diseños, y se ven muy bien con cualquier proyecto de papel. Este paquete contiene dos rollos de 21 yardas de cinta. Diseño: Peony. Importada.</p>
","tape, pebbles, rosado","tape, pebbles, rosado",5,0,,"97,117,130",,1,true,1
59,Tape Basico - Pebbles - Colorete,60,,646247472080,,,,,,6,Basic-tape-rouge,,data/646247472080.jpg,yes,175.62,0,2014-01-22 16:23:46,2014-01-24 12:36:22,2014-01-21,0.00,lb,0,0,0,in,true,11,704,2,,"<p>American Crafts-Basics Washi Tape. Esta cinta viene en varios colores y diseños, y se ven muy bien con cualquier proyecto de papel. Este paquete contiene dos rollos de 21 yardas de cinta. Diseño: Rouge. Importada.</p>
","tape, pebbles, colorete","tape, pebbles, colorete",5,0,,130,,1,true,1
60,Tape Basico - Pebbles - Rosado Oscuro,60,,646247472097,,,,,,6,Basic-tape-begonia,,data/646247472097.jpg,yes,175.63,0,2014-01-22 16:28:07,2014-01-24 12:40:38,2014-01-21,0.00,lb,0,0,0,in,true,11,699,2,,"<p>American Crafts-Basics Washi Tape. Esta cinta viene en varios colores y diseños, y se ven muy bien con cualquier proyecto de papel. Este paquete contiene dos rollos de 21 yardas de cinta. Diseño: Begonia. Importada.</p>
","tape, pebbles, rosado, oscuro","tape, pebbles, rosado, oscuro",5,0,,"96,116,130",,1,true,1
